,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
29,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,239616,send_recv,2,2
30,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,247808,send_recv,2,2
31,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,256000,send_recv,2,2
32,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,264192,send_recv,2,2
33,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,272384,send_recv,2,2
34,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,280576,send_recv,2,2
35,0.008,0.008,0.008,0.008,0.0,0,2,288768,send_recv,2,2
36,0.008,0.008,0.008,0.008,0.0,0,2,296960,send_recv,2,2
37,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,305152,send_recv,2,2
38,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,313344,send_recv,2,2
39,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,321536,send_recv,2,2
40,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,329728,send_recv,2,2
41,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,337920,send_recv,2,2
42,0.008,0.008,0.008,0.008,0.0,0,2,346112,send_recv,2,2
43,0.008,0.008,0.008,0.008,0.0,0,2,354304,send_recv,2,2
44,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,362496,send_recv,2,2
45,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,370688,send_recv,2,2
46,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,378880,send_recv,2,2
47,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,387072,send_recv,2,2
48,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,395264,send_recv,2,2
49,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,403456,send_recv,2,2
50,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,411648,send_recv,2,2
51,0.008,0.008,0.008,0.008,0.0,0,2,419840,send_recv,2,2
52,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,428032,send_recv,2,2
53,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,436224,send_recv,2,2
54,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,2,444416,send_recv,2,2
